UNIT_NO,DIVISION,YEAR,MAKE,MODEL,CATEGORY,CATEGORY_DESC,CATEGORY_CLASS,CATEGORY_GROUP,CATEGORY_GROUP_DESC,UNIT_TYPE,FUEL_PRODUCT,AGE,EXPECTED_LIFE(YR),IN_SERVICE_DATE,CURRENT_STATUS_DESCRIPTION,HIGH_PRIORITY,OWNING_COST_CENTER,USING_COST_CENTER,MAINTENENACE_LOCATION_NAME,PARK_LOCATION,PARK_LOCATION_NAME,BILLING_CODE,MAINTENANCE CLASSIFICATION CODE,TECH_SPEC,TECH_SPEC_DESC
041055,FLEET SERVICES,2009.0,FORD,ESCAPE HYBRI,7UZ1FENZZZ,PASS-SUV CL1 4X4 8Y HYBUN,CLASS1,SEDAN-PASS,SEDAN - PASSENGER,LIGHT DUTY,UNLEADED,14.7342465753425,8.0,39723.0,Unit SOLD,,TS3060,FL7009,FINCH GARAGE,004577,5100 YONGE ST,STANDARD,OYAC---8,041FORDUN09,GAS/ELECTRIC HYBRID SUV 4WD
285052,TRANSPORTATION SERVICES,2004.0,INGERSOLL,P-185WJD,ACZFZWDZZZ,APP-COMPRESSOR 51-60HP 12Y DIESEL,APPARATUS,APPARUTUS-COMPRESSOR,285INGEDI84A,OTHER,DIESEL,18.6388145928463,12.0,38335.0,Active Unit,,TS6030,TS6030,FINCH GARAGE,61 TORYORK DR,,H6AC----,0.0,185 CFM TRAILER MOUNTED AIR COMPRESSOR,STANDARD
315098,TRANSPORTATION SERVICES,2020.0,AUTOCAR,ACMD XPERT,2RS8TEDZZZ,RASS-6CUYD CL8 4X2 8Y DIESEL,CLASS8,ROAD-ST-SWEEP,ROAD-MAIN-STREET SWEEPER,HEAVY DUTY,DIESEL,3.42237623668189,,43889.0,Active Unit,,TS6060,TS6060,ELLESMERE GARAGE,003892,1050 ELLESMERE RD,V8UND,D6DOW2S9,315AUTODI20,2020 Autocar ACMD XPERT 4x2 Cabover Chassis with Tymco Model 600 Street Sweeper Body
041337,"SHELTER, SUP., & HOUSING ADMIN",2020.0,CHEVROLET,EQUINOX,7UZ1FEUZZZ,PASS-SUV CL1 4X4 8Y UNLEAD,CLASS1,SEDAN-PASS,SEDAN - PASSENGER,LIGHT DUTY,UNLEADED,3.4086776065449,8.0,43894.0,Active Unit,,F03070,F03070,EASTERN GARAGE,007078,51 LISGAR ST,V1.5UND,BYAC---8,041CHEVUN20,2020 Chevrolet Equinox (1XX26) AWD 4dr 1LS SUV
095126,TORONTO HOUSING COMPANY,2015.0,  DODGE ,CARAVAN C/V,3MZ2TEUZZZ,VAN-MINICARGO CL2 4X2 8Y UNLEAD,CLASS2,VAN-PASS,VAN - PASSENGER,LIGHT DUTY,unleaded,8.6086776065449,8.0,41996.0,Active Unit,,10000174,10000174,FINCH GARAGE,,,V1.5OVR,BYAC---8,095DODGUN15,MINI CARGO VAN C/V RAM
266097,"PARKS, FORESTRY & RECREATION",2022.0,J&J,LD-1,4UZL1IZZZZ,TRL-UTILITY LIGHT SINGLE AXLE 15Y,15.0,,266J&JNA22,OTHER,PRODUCT N/A,0.512787195585997,,ELLESMERE GARAGE,Active Unit,P00833,P00833,,Active Unit,70 NASHDENE RD,,ND------,0.0,2022 J&J LD-1 10FT. SINGLE AXLE TRAILER,STANDARD
045119,FLEET SERVICES,2017.0,DODGE,RAM 1500,5HC2FTUEZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD TC12B,CLASS2,PICKU-1/2T,PICKUP - 1/2 TON,LIGHT DUTY,  UNLEADED ,6.34566390791476,10.0,42822.0,Active Unit,Y,FL4001,FL4001,FINCH GARAGE,004426,1026 FINCH AVE W,STANDARD,BYAC---8,045DODGUN17-1,4WD EXT. CAB PICKUP TRUCK WITH TC-12 ARROWBOARD
061137,toronto water,2009.0,FORD,F250,5TS2TTDZZZ,PU-3/4T-SC CL2 4X2 10Y DIESEL,CLASS2,PICKUP - 3/4 TON,061FORDDI09,LIGHT DUTY,DIESEL,13.6634721270928,10.0,40151.0,Unit is totaled,,TW2015,TW2015,ELLESMERE GARAGE,30 NORTHLINE RD,,O6AD---8,220000.0,4X2 3/4 TON PICKUP TRUCK,STANDARD
137003,TORONTO WATER,2017.0,FORD,F650,1BS6TTDOZZ,TRK-CUBE-SC CL6 4X2 10Y DIESEL PLG,CLASS6,TRUCK-CUBE,TRUCK - CUBE,HEAVY DUTY,DIESEL,6.66895157914764,10.0,42704.0,Active Unit,Y,TW2025,TW2025,FINCH GARAGE,004426,1026 FINCH AVE W,V3UND,B6AD---9,137FORDDI17,22ft Van Body with Dual Side Curtain Type Truck
041393,TORONTO WATER,2020.0,CHEVROLET,EQUINOX,7UZ1FEUZZZ,PASS-SUV CL1 4X4 8Y UNLEAD,8.0,SEDAN - PASSENGER,041CHEVUN20,LIGHT DUTY,UNLEADED,3.37306116818874,,DISCO GARAGE,Active Unit,TW6010,TW6010,AUXILIARY BATTERY & ANTI-IDLING SYSTEMS,Active Unit,545 COMMISSIONERS ST,,BYAC---8,160000.0,2020 Chevrolet Equinox (1XX26) AWD 4dr 1LS SUV,V1.5UND
065157,"PARKS, FORESTRY & RECREATION",2022.0,CHEVROLET,2500HD,5TX2FTUPZZ,PU-3/4T-EC-LB CL2 4X4 10Y UNLEAD PL,CLASS2,PICKU-3/4T,PICKUP - 3/4 TON,LIGHT DUTY,,0.184020072298326,10.0,45071.0,Active Unit,,CFL005-22,P00409,FINCH GARAGE,005513,1132 LESLIE ST,V1.5UND,B6AD---8,065CHEVUN22B,"2022 Chevrolet Silverado 2500HD Extended Cab, Long Box, with Plow"
041084,FLEET SERVICES,2010.0,FORD,ESCAPE HYBRI,7UZ1FENZZZ,PASS-SUV CL1 4X4 8Y HYBUN,CLASS1,SEDAN-PASS,SEDAN - PASSENGER,LIGHT DUTY,UNLEADED,13.6168967846271,8.0,40168.0,Unit Return for Disp/Sale/Rem,,TS8030,FL7009,ELLESMERE GARAGE,003889,150 BOROUGH DR,STANDARD,BYAC---8,041FORDUN10,GAS/ELECTRIC HYBRID SUV 4WD
