UNIT_NO,DIVISION,YEAR,MAKE,MODEL,CATEGORY,CATEGORY_DESC,CATEGORY_CLASS,CATEGORY_GROUP,CATEGORY_GROUP_DESC,UNIT_TYPE,FUEL_PRODUCT,AGE,EXPECTED_LIFE(YR),IN_SERVICE_DATE,CURRENT_STATUS_DESCRIPTION,HIGH_PRIORITY,OWNING_COST_CENTER,USING_COST_CENTER,MAINTENENACE_LOCATION_NAME,PARK_LOCATION,PARK_LOCATION_NAME,BILLING_CODE,MAINTENANCE CLASSIFICATION CODE,TECH_SPEC,TECH_SPEC_DESC
329048,PURCHASING & MATERIALS MGMT,2017.0,CROWN,WAV60-118,LFZATIEZZZ,LIFT-FORKLIFT <10HP 4X2 15Y ELECT,15.0,,329CROWEL17,OFF-ROAD,ELECTRIC,5.37854062024353,,DISCO GARAGE,active unit,FS0017,FS0017,ZERO EMISSION - ELECTRIC VEHICLE,Active Unit,799 ISLINGTON AVE,,HCK-----,0.0,ELECTRIC POWERED ORDER PICKER,STANDARD
003352,MUNICIPAL LICENSING & STDS,2023.0,CHEVROLET,BOLT EUV,7SZ1TEEZZZ,PASS-SUBCOMP CL1 4X2 8Y ELECT,8.0,SEDAN - PASSENGER,003CHEVEL23,LIGHT DUTY,ELECTRIC,,,ELLESMERE GARAGE,ACTIVE UNIT,CFL007-22,MS1310,ZERO EMISSION - ELECTRIC VEHICLE,Active Unit,1530 MARKHAM RD,,OC-----8,160000.0,2023 CHEVROLET BOLT EUV ELECTRIC 5-DOOR HATCHBACK SEDAN,V1UND
321004,"PARKS, FORESTRY & RECREATION",2021.0,CASE,321F,CLZGWWDZZZ,CON-ART-LOADER 61-70HP 2X2 12Y DIESEL,CONSTRUCT,CON-ART-LOAD,CONSTRUCT-ARTICULATED LOADER,OFF-ROAD,DIESEL,1.31826664764079,12.0,44657.0,Active Unit,,P00516,P00516,EASTERN GARAGE,,,STANDARD,H6AC----,323CASEDI21A,ARTICULATED COMPACT WHEEL LOADER
063091,SOLID WASTE MANAGEMENT,2019.0,FORD,F250,5TC2TVDZZZ,PU-3/4T-CC CL2 4X2 7Y DIESEL,CLASS2,PICKU-3/4T,PICKUP - 3/4 TON,LIGHT DUTY,DIESEL,4.61963651065449,7.0,43452.0,ACTIVE UNIT,,SW0718,SW0718,YONGE GARAGE,000619,1008 YONGE ST,V1.5UND,B6AD---8,063FORDDI19B,"Ford F-250, 2WD, Crew Cab with Slide-In Steel Tipster (7 years)"
LF0031,TRANSPORTATION SERVICES,2007.0,UNKNOWN,LEAFBOX,HLZZZTZZZZ,ATT-LEAF-BOX 10Y,10.0,LEAFBOX,TRANSPORTATION LEAF BOX,OTHER,,13.6333351407915,,DISCO GARAGE,Active Unit,TS6030,TS6030,,Replacement Program,,,0.0,0.0,STANDARD,NO_PM3S-
396500,"PARKS, FORESTRY & RECREATION",2019.0,toro,5910,GMZFFTDZZZ,GM-MOWER 51-60HP 4X4 10Y DIESEL,10.0,GROUND-MOWER,396TORODI19A,OFF-ROAD,DIESEL / DYED DIESEL,4.29634883942161,,DISCO GARAGE,Active Unit,P00404,P00404,,Active Unit,4169 BATHURST ST,,NO_PM_HR,0.0,2019 Toro Ground master 5910 16' MOWER,STANDARD
396457,"PARKS, FORESTRY & RECREATION",2016.0,JACOBSEN,HR800,GMZIFTDZZZ,GM-MOWER 71-80HP 4X4 10Y DIESEL,GROUND,GROUND-MOWER,396JACODI16,OFF-ROAD,DIESEL / DYED DIESEL,6.712787195586,10.0,42688.0,Active Unit,,P00830,P00830,ELLESMERE GARAGE,101 RIDGETOP RD,,NO_PM_HR,0.0,2016 JACOBSEN HR800 RIDE-ON 16FT MOWER,STANDARD
041181,transportation services,2016.0,FORD,ESCAPE,7UZ1TEUZZZ,PASS-SUV CL1 4X2 8Y UNLEAD,CLASS1,SEDAN-PASS,SEDAN - PASSENGER,LIGHT DUTY,UNLEADED,7.74018445585997,8.0,42313.0,Active Unit,,TS8020,TS8020,EASTERN GARAGE,000520,433 EASTERN AVE,V1.5UND,BYAC---8,041FORDUN16A,2WD SPORT UTILITY VEHICLE
294079,"PARKS, FORESTRY & RECREATION",2014.0,VERMEER,BC1000XL,ABZI1WDZZZ,APP-BRUSH-CH 71-80HP SINGLE AXLE 12Y DIESEL,APPARATUS,APP-BRUSH-CH,APPARUTUS-BRUSH CHIPPER,OTHER,DIESEL / DYED DIESEL,9.08538993531202,,41822.0,Active Unit,,P00069,P00069,EASTERN GARAGE,000520,433 EASTERN AVE,STANDARD,HC------,294VERMDI14,12 INCHES CAPACITY TOW BEHIND BRUSH CHIPPER
319157,"PARKS, FORESTRY & RECREATION",2015.0,JOHN DEERE,JD5085E,GRZJFWDSPZ,GM-TRACTOR 81-100HP 4X4 12Y DIESEL SPPL,GROUND,GM-TRACT,GROUNT-TRACTOR,OFF-ROAD,DIESEL / DYED DIESEL,7.36484199010654,12.0,42450.0,Active Unit,,P13474,P13474,ELLESMERE GARAGE,003763,101 RIDGETOP RD,STANDARD,H6AE----,319JOHNDI15,2015 JOHN DEERE JD5085E 85HP FARM TRACTOR
159034,"PARKS, FORESTRY & RECREATION",2011.0,INTERNATIO,4300,1CS6TWDZZZ,TRK-CHPR-SC CL6 4X2 12Y DIESEL,CLASS6,TRUCK-CHIP,TRUCK - CHIPPER,HEAVY DUTY,DIESEL,12.5210063736682,12.0,40568.0,active unit,,P00090,P00090,DISCO GARAGE,005381,441 KIPLING AVE,V5OVR,B6AD---9,159INTEDI11,9FT DUMP BODY WITH CHIPPER ENCLOSURE
111088,TORONTO PUBLIC LIBRARY,2018.0,FORD,TRANSIT 150,3HS2TTUZZZ,VAN-1/2T-CARGO-SR CL2 4X2 10Y UNLEAD,CLASS2,VAN-1/2T,VAN - 1/2 TON,LIGHT DUTY,UNLEADED,4.63059541476408,10.0,43448.0,Active Unit,,10000302,10000302,ELLESMERE GARAGE,3892-1,1076 ELLESMERE RD,V1.5UND,BYAC---8,111FORDUN18,150 Series Cargo Van - Ford Transit 150
065108,FLEET SERVICES,2013.0,FORD,F250,5TE2FTDEOP,PU-3/4T-EC CL2 4X4 10Y DIESEL TCPLGPL,CLASS2,PICKUP - 3/4 TON,065FORDDI13,LIGHT DUTY,DIESEL,9.54246575342466,10.0,41562.0,Unit SOLD,,TS6060,FL7009,BOOTH GARAGE,1116 KING ST W,,BYAC---8,220000.0,4WD EXTENED CAB PICK UP TRUCK TC- 12 ARROW BOARD & POWER LIFTGATE & PLOW,STANDARD
095202,FACILITIES MGMT & REAL ESTATE,2021.0,DODGE,RAM PROMASTER CITY,3MZ1TEUZZZ,VAN-MINICARGO CL1 4X2 8Y UNLEAD,CLASS1,VAN-PASS,VAN - PASSENGER,LIGHT DUTY,UNLEADED,1.35388308599696,8.0,44644.0,Active Unit,,FA3666,FA3666,ELLESMERE GARAGE,003892,1050 ELLESMERE RD,V1.5UND,BYAC---8,095DODGUN21,2021 Dodge Ram Promaster City Mini Cargo Van
384010,MUNICIPAL LICENSING & STDS,2004.0,ROCKY MOUN,ST3 GEOMETRY,KMZZDEZZZZ,BIKE-MANUAL 2 WHEEL 8 YEAR,38352.0,MANUAL BICYCLE,STANDARD,OFF-ROAD,,18.5922392503805,EASTERN GARAGE,Active Unit,Active Unit,MS1300,,1160.0,,,,0.0,000520,NONMETER,0.0
202026,"PARKS, FORESTRY & RECREATION",2010.0,INTERNATIO,DURASTAR 4400,1ZS8TWDZZZ,TRK-CHPR-EXTARL-SC CL8 4X2 12Y DIESEL,CLASS8,TRUCK-EXARCHI,truck-CHIPPER EXTENDED AERIAL,HEAVY DUTY,DIESEL,13.3484036339422,12.0,40266.0,Replacement Program,,P00091,P00091,INGRAM GARAGE,5109-1,305 ROCKCLIFFE BLVD,V6.25OVR,O6ADR--9,202INTEDI10,TRUCK WITH ELEVATOR EXT. AERIAL DEVICE & CHIPPER DUMP BODY
064174,TORONTO HOUSING COMPANY,2017.0,FORD,F250 4X4,5TS2FTDPZZ,PU-3/4T-SC CL2 4X4 10Y DIESEL PL,CLASS2,PICKU-3/4T,PICKUP - 3/4 TON,LIGHT DUTY,DIESEL,5.24429404490107,10.0,43224.0,Active Unit,,10000174,10000174,EASTERN GARAGE,,,V1.5UND,B6AD---8,064FORDDI17A,3/4 TON PICKUP TRUCK - STANDARD CAB 4X4
041093,"PARKS, FORESTRY & RECREATION",2010.0,FORD,ESCAPE HYBRI,7UZ1TENZZZ,PASS-SUV CL1 4X2 8Y HYBUN,CLASS1,SEDAN-PASS,SEDAN - PASSENGER,LIGHT DUTY,UNLEADED,13.54018445586,8.0,,Active Unit,,P00069,P00069,BOOTH GARAGE,000520,433 EASTERN AVE,V1.5OVR,OYAC---8,041FORDUN10A,GAS/ELECTRIC HYBRID SUV 2WD
095194,FACILITIES MGMT & REAL ESTATE,2021.0,DODGE,RAM PROMASTER CITY,3MZ1TEUZZZ,VAN-MINICARGO CL1 4X2 8Y UNLEAD,CLASS1,VAN-PASS,VAN - PASSENGER,LIGHT DUTY,UNLEADED,1.44703377092846,8.0,44610.0,Active Unit,,FA3666,FA3666,DISCO GARAGE,002426,150 DISCO RD,V1.5UND,BYAC---8,095DODGUN21,2021 Dodge Ram Promaster City Mini Cargo Van
094140,ENGINEERING & CONSTR. SERVICES,2023.0,DODGE,GRAND CARAVA,7VZ2TEUZZZ,PASS-MV CL2 4X2 8Y UNLEAD,CLASS2,VAN-PASS,VAN - PASSENGER,LIGHT DUTY,UNLEADED,0.205937880517504,8.0,45063.0,Active Unit,,CFL009-21,ECS640,ELLESMERE GARAGE,005680,18 DYAS RD,V1UND,BYAC---8,094DODGUN23,2023 Chrysler Grand Caravan SXT FWD
041212,ENGINEERING & CONSTR. SERVICES,2017.0,FORD,ESCAPE,7UZ1FEUZZZ,PASS-SUV CL1 4X4 8Y UNLEAD,CLASS1,SEDAN - PASSENGER,041FORDUN17,LIGHT DUTY,UNLEADED,6.77854062024353,8.0,42664.0,Active Unit,,ECS620,ECS620,FINCH GARAGE,1026 FINCH AVE W,,BYAC---8,160000.0,AWD SPORT UTILITY VEHICLE,V1.5UND
080079,FLEET SERVICES,2013.0,FORD,F550,1US5TTDVZZ,TRK-UTLTY-SC CL5 4X2 10Y DIESEL VALV,CLASS5,TRUCK- UTILI,TRUCK - UTILITY,MEDIUM DUTY,DIESEL,10.2497734969559,10.0,41397.0,Unit Return for Disp/Sale/Rem,,TW2020,FL7009,DISCO GARAGE,,435 KIPLING AVE,STANDARD,B6AD---8,080FORDDI13B,2013 FORD F-550 w/ utility body W/O valve operator
330197,SOLID WASTE MANAGEMENT,2023.0,MADVAC,LN50,RVZCTSDZZZ,RM-LITTER-VACUUM 21-30HP 4X2 6Y DIESEL,ROADMAIN,ROAD-LIT-VAC,,OFF-ROAD,DIESEL / DYED DIESEL,0.112787195585997,6.0,45097.0,Active Unit,,CFL008-22,SW0718,YONGE GARAGE,000619,1008 YONGE ST,STANDARD,H6HE2S--,330MADVDI23,2023 MADVAC ROAD MAINTENANCE LITTER VACUUM 21-30HP 4X2 6 YEAR DIESEL
075008,TRANSPORTATION SERVICES,2016.0,FORD,F350,5OE3FTDZZZ,PU-1T-EC CL3 4X4 10Y DIESEL,CLASS3,PICKU-1TON,PICKUP - 1 TON,MEDIUM DUTY,DIESEL,7.06895157914764,10.0,42558.0,Active Unit,,TS6030,TS6030,FINCH GARAGE,002990,64 MURRAY RD,V1.5UND,B6AD---8,075FORDDI16,1 TON EXTENDED CAB 4X4 PICKUP TURCK
007023,TORONTO HOUSING COMPANY,2015.0,FORD,INTERCEPTOR,7FP1FEUZZZ,PASS-FS-POLICE CL1 4X4 8Y UNLEAD,CLASS1,SEDAN-PASS,SEDAN - PASSENGER,LIGHT DUTY,UNLEADED,7.57580089421613,8.0,42373.0,Active Unit,,10000174,10000174,ELLESMERE GARAGE,,,V1.5UND,BYAC---8,007FORDUN15,Ford Police Interceptor Sedan
112333,FACILITIES MGMT & REAL ESTATE,2011.0,MERCEDES,SPRINTER2500,3TS2TTDHZZ,VAN-3/4T-CARGO-SR CL2 4X2 10Y DIESEL SH,CLASS2,VAN-3/4T,VAN - 3/4 TON,LIGHT DUTY,DIESEL,11.6908693873668,10.0,40871.0,Active Unit,,FA0361,FA0361,ELLESMERE GARAGE,003892,1050 ELLESMERE RD,V1.5OVR,BYAC---8,112MERCDI11-1,MERCEDES-BENZ 2500 SPRINTER SH
396375,"PARKS, FORESTRY & RECREATION",2014.0,JOHN DEERE,1600T,GMZFFTDZZZ,GM-MOWER 51-60HP 4X4 10Y DIESEL,GROUND,GROUND-MOWER,396JOHNDI14,OFF-ROAD,DIESEL,8.87443103120244,10.0,41899.0,Active Unit,,P00271,P00271,DISCO GARAGE,30 NORTHLINE RD,,NO_PM_HR,0.0,"57 HP 4WD, 11FT RIDE-ON ROTARY MOWER",STANDARD
237236,SOLID WASTE MANAGEMENT,2018.0,mack,LR633,9CD8NFCZZZ,PACK-AUTOSIDELCO-25CUYD CL8 6X4 5Y CNG,CLASS8,TRUCK-SLOAD,TRUCK - SIDE LOADER,HEAVY DUTY,NATURAL GAS,4.61963651065449,5.0,43452.0,Replacement Program,,SW1030,SW1030,BERMONDSEY GARAGE,004869,25 OLD EGLINTON AVE,V8UND,B6ADASL9,237MACKNG18A,CNG CAB OVER CHASSIS WITH LABRIE ALLEYGATOR 23 CU.YD AUTOMATED SIDE LOAD WITH RIGHT SIDE STAND UP
095190,FACILITIES MGMT & REAL ESTATE,2021.0,DODGE,RAM PROMASTER CITY,3MZ1TEUZZZ,VAN-MINICARGO CL1 4X2 8Y UNLEAD,CLASS1,VAN-PASS,VAN - PASSENGER,LIGHT DUTY,UNLEADED,1.33744472983257,8.0,44650.0,ACTIVE UNIT,,FA3666,FA3666,ELLESMERE GARAGE,003892,1050 ELLESMERE RD,V1.5UND,BYAC---8,095DODGUN21,2021 Dodge Ram Promaster City Mini Cargo Van
156170,"PARKS, FORESTRY & RECREATION",2017.0,FORD,F-450,1DC4FTDZZZ,TRK-DUMP-CC CL4 4X4 10Y DIESEL,CLASS4,TRUCK-DUMP,TRUCK - DUMP,MEDIUM DUTY,DIESEL,6.7100474695586,10.0,42689.0,Active Unit,,P12017,P12017,BOOTH GARAGE,0520-1,50 BOOTH AVE,V4UND,B6AD---8,156FORDDI17B,"CREW CAB 4X4 WITH 9FT. DUMP BODY, FOLD DOWN SIDES"
094113,TRANSPORTATION SERVICES,2019.0,FORD,TRANSIT CONN,7VZ1TEUZZZ,PASS-MV CL1 4X2 8Y UNLEAD,CLASS1,SEDAN-PASS,SEDAN - PASSENGER,  LIGHT DUTY ,UNLEADED,4.40319815449011,8.0,43531.0,Active Unit,,TS6050,TS6050,EASTERN GARAGE,000520,433 EASTERN AVE,V1UND,BYAC---8,094FORDUN19,2019 Ford Transit Connect XLT Passenger Van Wagon
222051,SOLID WASTE MANAGEMENT,2020.0,HINO,195,9IV5TVDZZZ,PACK-SIDELCO-8CUYD CL5 4X2 7Y DIESEL,CLASS5,TRUCK-SLOAD,TRUCK - SIDE LOADER,MEDIUM DUTY,DIESEL,2.0059378805175,7.0,44406.0,Active Unit,,SW1060,SW1060,INGRAM GARAGE,005178,86 INGRAM DR,V8UND,B6AD--15,222HINODI20A,CAB OVER CHASSIS WITH CURBTENDER TOMCAT 8 CU.YD DUAL STREAM SIDE LOADING PACKER
094056,TORONTO WATER,2011.0,DODGE,CARAVAN,7VZ2TEUZZZ,PASS-MV CL2 4X2 8Y UNLEAD,CLASS2,VAN - PASSENGER,094DODGUN11,LIGHT DUTY,UNLEADED,11.9018282914764,8.0,40794.0,Unit is totaled,,TW4015,TW4022,EASTERN GARAGE,,,00,160000.0,MINI PASSENGER VAN,STANDARD
050086,TORONTO HOUSING COMPANY,2019.0,DODGE,RAM 1500 (TRADESMAN),5HC2FTUEZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD TC12B,CLASS2,PICKU-1/2T,PICKUP - 1/2 TON,LIGHT DUTY,UNLEADED,3.97032144216134,10.0,43689.0,Active Unit,,10000174,10000174,FINCH GARAGE,,,V1.5UND,BYAC---8,050DODGUN19,"Ram 1500 (DT6L98) Tradesman, Crew Cab, 4x4, 3.6L V6 with eTorque"
156099,SOLID WASTE MANAGEMENT,2010.0,DODGE,RAM 3500,5OY3TTDOZZ,PU-1T-SC-LB CL3 4X2 10Y DIESEL PLG,CLASS3,PICKU-1TON,PICKUP - 1 TON,MEDIUM DUTY,diesel,13.1840200722983,10.0,40326.0,Replacement Program,,SW1040,SW1040,ELLESMERE GARAGE,3892-2,2000 MIDLAND AVE,V1.5OVR,B6AD---8,156DODGDI10A,STANDARD CAB WITH 9FT. PLATFORM STAKE BODY WITH LIFTGATE
094051,FLEET SERVICES,2010.0,DODGE,CARAVAN,7VZ2TEUZZZ,PASS-MV CL2 4X2 8Y UNLEAD,CLASS2,VAN - PASSENGER,094DODGUN10,LIGHT DUTY,UNLEADED,13.1013698630137,8.0,40200.0,Unit SOLD,,TS6050,FL7009,BOOTH GARAGE,433 EASTERN AVE,,OYAC---8,160000.0,MINI PASSENGER STANDARD VAN,STANDARD
396306,"PARKS, FORESTRY & RECREATION",2011.0,KUBOTA,F3080,GMZDFTDZZZ,GM-MOWER 31-40HP 4X4 10Y DIESEL,GROUND,GROUND-MOWER,396KUBODI11,OFF-ROAD,DIESEL,12.112787195586,10.0,40717.0,Active Unit,,P00405,P00405,DISCO GARAGE,301 ROCKCLIFFE BLVD,,NO_PM_HR,0.0,"31 HP 4WD, 72"" FRONT-MOUNT RIDE-ON ROTARY MOWER",STANDARD
112530,MUNICIPAL LICENSING & STDS,2020.0,FORD,TRANSIT 250,3TS2TTUZZZ,VAN-3/4T-CARGO-SR CL2 4X2 10Y UNLEAD,CLASS2,VAN-3/4T,VAN - 3/4 TON,LIGHT DUTY,UNLEADED,1.22237623668189,10.0,44692.0,Active Unit,,MS5048,MS5048,DISCO GARAGE,002726,146 THE EAST MALL,V1.5UND,BYAC---8,112FORDUN20A,THREE QUARTER TON CARGO VAN
076074,TORONTO WATER,2019.0,CHEVROLET,3500,5OD3FTUSPZ,PU-1T-CC-DRW CL3 4X4 10Y UNLEAD SPPL,CLASS3,PICKU-1TON,PICKUP - 1 TON,MEDIUM DUTY,UNLEADED,4.01689678462709,10.0,,active unit,,TW2020,TW2020,DISCO GARAGE,,435 KIPLING AVE,V1.5UND,B6AD---8,076CHEVUN19A,"2019 Chevrolet Silverado 3500, Crew, 4x4 WT, DRW, Long Box"
250508,SOLID WASTE MANAGEMENT,2022.0,TITAN,53-3-TW-WF,4ORH3TZZZZ,TRL-VTA-OPEN-145-155CUYD HEAVY TRIAXLE 10Y,Inactive Unit,SW-TRAIL,0.0,,,OTHER,,SW0709,Active Unit,0.0,0.5,TRL-VAN/TANK,SW0709,,,50 INGRAM DR,,0.0,005449
041221,MUNICIPAL LICENSING & STDS,2017.0,FORD,ESCAPE,7UZ1FEUZZZ,PASS-SUV CL1 4X4 8Y UNLEAD,CLASS1,SEDAN-PASS,SEDAN - PASSENGER,LIGHT DUTY,UNLEADED,6.74840363394216,8.0,42675.0,Active Unit,,MS1340,MS1340,ELLESMERE GARAGE,005763,1530 MARKHAM RD,V1.5UND,BYAC---8,041FORDUN17,AWD SPORT UTILITY VEHICLE
094055,FACILITIES MGMT & REAL ESTATE,2011.0,DODGE,CARAVAN,7VZ2TEUZZZ,PASS-MV CL2 4X2 8Y UNLEAD,CLASS2,VAN-PASS,VAN - PASSENGER,LIGHT DUTY,unleaded,11.9073077435312,8.0,40792.0,  Active Unit ,,FA2311,FA2311,EASTERN GARAGE,,131 RIVER ST,V1OVR,BYAC---8,094DODGUN11,MINI PASSENGER VAN
041311,TRANSPORTATION SERVICES,2019.0,CHEVROLET,EQUINOX,7UZ1FEUZZZ,PASS-SUV CL1 4X4 8Y UNLEAD,CLASS1,SEDAN-PASS,SEDAN - PASSENGER,LIGHT DUTY,UNLEADED,3.90182829147641,8.0,43714.0,Active Unit,,TS3060,TS3060,EASTERN GARAGE,004577,5100 YONGE ST,V1.5UND,BYAC---8,041CHEVUN19,2019 Chevrolet Equinox (1XX26) AWD 4dr 1LS SUV
006032,MUNICIPAL LICENSING & STDS,2013.0,TOYOTA,CAMRY HYB,7MZ1TENZZZ,PASS-MS CL1 4X2 8Y HYBUN,CLASS1,SEDAN-PASS,SEDAN - PASSENGER,LIGHT DUTY,UNLEADED,10.3511433599696,8.0,41360.0,Active Unit,,MS1330,MS1330,BOOTH GARAGE,000520,433 EASTERN AVE,V1OVR,BYAC---8,006TOYOUN13,GAS/ELECTRIC HYBRID 4-DOOR SEDAN
396475,"PARKS, FORESTRY & RECREATION",2017.0,JACOBSEN,HR600,GMZEFTDZZZ,GM-MOWER 41-50HP 4X4 10Y DIESEL,GROUND,GROUND-MOWER,396JACOBDI17,OFF-ROAD,DIESEL / DYED DIESEL,6.09908856544901,10.0,42912.0,Active Unit,,P00531,P00531,EASTERN GARAGE,711 LAKE SHORE BLVD W,,NO_PM_HR,0.0,45 HP 4WD 11FT. RIDE-ON ROTARY MOWER,STANDARD
376120,"PARKS, FORESTRY & RECREATION",2018.0,ZAMBONI,526,ISZGZTLZZZ,ICE-RESURF 61-70HP 10Y LPG,43959.0,1000 L CAPACITY RIDE-ON ICE RESURFACER,STANDARD,OFF-ROAD,PROPANE,3.23059541476408,DISCO GARAGE,Active Unit,Active Unit,P03058,PROPANE GAS,1160.0,,,,4900.0,002179,NO_PM,0.0
176025,FLEET SERVICES,2009.0,  STERLING ,ACTERRA,1FS8TWDCZZ,TRK-FB-SC CL8 4X2 12Y DIESEL CRN,CLASS8,TRUCK-FLATB,TRUCK - FLATBED,HEAVY DUTY,DIESEL,14.8525132229833,12.0,39717.0,Unit at auction to be sold,Y,TW2015,FL7009,DISCO GARAGE,002426,150 DISCO RD,STANDARD,O6ADR--9,176STERDI09,STERLING ACTERRA WITH 15 FT STAKE BODY AND REAR CRANE
076055,"PARKS, FORESTRY & RECREATION",2017.0,FORD,F350,5OE3FTDZZZ,PU-1T-EC CL3 4X4 10Y DIESEL,CLASS3,PICKU-1TON,PICKUP - 1 TON,MEDIUM DUTY,DIESEL,5.12100637366819,10.0,43269.0,Active Unit,,P12081,P00530,BOOTH GARAGE,000549,275 MANITOBA DR,V1.5UND,B6AD---8,076FORDDI17,2017 FORD F 350 EXTENDED CAB 4X4
330198,SOLID WASTE MANAGEMENT,2023.0,MADVAC,LN50,RVZCTSDZZZ,RM-LITTER-VACUUM 21-30HP 4X2 6Y DIESEL,6.0,,330MADVDI23,OFF-ROAD,DIESEL,0.0168967846270928,,YONGE GARAGE,Active Unit,CFL008-22,SW0718,,Active Unit,1008 YONGE ST,,H6HE2S--,0.0,2023 MADVAC ROAD MAINTENANCE LITTER VACUUM 21-30HP 4X2 6 YEAR DIESEL,STANDARD
111062,TORONTO PUBLIC LIBRARY,2016.0,FORD,TRANSIT 150,3HM2TTUHZZ,VAN-1/2T-CARGO-MR CL2 4X2 10Y UNLEAD SH,CLASS2,VAN-1/2T,VAN - 1/2 TON,LIGHT DUTY,  UNLEADED ,6.93196527777778,10.0,42608.0,Active Unit,,10000302,10000302,ELLESMERE GARAGE,005254,5120 YONGE ST,V1.5UND,BYAC---8,111FORDUN16B,"8,600LBS (3,901kg) 1/2 TON CARGO VANS W/ MEDIUM ROOF"
205021,SOLID WASTE MANAGEMENT,2015.0,MACK,GU813,1IS8NWDZZZ,TRK-FB-TL-SC CL8 6X4 12Y DIESEL,CLASS8,TRUCK-FLATB,TRUCK - FLATBED,HEAVY DUTY,DIESEL,8.94840363394216,12.0,41872.0,Replacement Program,,SW0708,SW0708,FLEET MAINTENANCE HAULAGE,4869-2,188 BERMONDSEY RD,SW-TDO,B6AD---9,205MACKDI15,TILT AND LOAD ROLL-OFF TRUCK C/W LIFT STEERABLE AXLE
267212,SOLID WASTE MANAGEMENT,2018.0,WEBE,WL1200,4UZL2IZZZZ,TRL-UTILITY LIGHT TANDEM AXLE 15Y,15.0,,267VIATR18C,OTHER,,5.30182829147641,,FINCH GARAGE,Active Unit,CSW9300301,CSW9300301,,Active Unit,1901 TESTON RD,,ND------,0.0,"12FT. TANDEM AXLE TRAILER, WITH BEAVERTAIL",STANDARD
223058,"PARKS, FORESTRY & RECREATION",2011.0,FORD,F550,9SY5TVDZZZ,PACK-SIDEL-16CUYD CL5 4X2 7Y DIESEL,CLASS5,TRUCK-SLOAD,TRUCK - SIDE LOADER,MEDIUM DUTY,DIESEL,12.3621022640791,7.0,40626.0,Active Unit,,P00155,P00155,EASTERN GARAGE,,,V8OVR,B6AD---8,223FORDDI11,CONVENTIONAL CHASSIS WITH HAUL-ALL 16 CU.YD SINGLE STREAM MANUAL SIDE LOAD PACKER
396377,"PARKS, FORESTRY & RECREATION",2014.0,TORO,5910,GMZJFTDZZZ,GM-MOWER 81-100HP 4X4 10Y DIESEL,GROUND,GM-MOWER,GROUND-MOWER,OFF-ROAD,DIESEL / DYED DIESEL,8.96758171613394,10.0,41865.0,Active Unit,,P00548,P00548,EASTERN GARAGE,001984,30 NORTHLINE RD,STANDARD,NO_PM_HR,396TORODI14,"99 HP 4WD, 16' RIDE-ON ROTARY MOWER"
323101,TORONTO WATER,2019.0,CASE,721G,CLZQFWDZZZ,CON-ART-LOADER 141-180HP 4X4 12Y DIESEL,CONSTRUCT,CON-ART-LOAD,CONSTRUCT-ARTICULATED LOADER,OFF-ROAD,  DYED DIESEL ,3.63607486681887,12.0,43811.0,Active Unit,,TW2015,TW2015,DISCO GARAGE,002426,150 DISCO RD,STANDARD,H6AC----,323CASEDI19A,"2019 Case 721G Wheel Loader, 174hp, 3.5 yd Hd bucket"
267207,TORONTO WATER,2018.0,WEBE,WL1200,4UZL2IZZZZ,TRL-UTILITY LIGHT TANDEM AXLE 15Y,15.0,,267VIATR18A,OTHER,,5.55936253805175,,EASTERN GARAGE,Active Unit,TW6015,TW2055,,Active Unit,545 COMMISSIONERS ST,,ND------,0.0,2018 VIA TRAILER 16FT TANDEM AXLE,STANDARD
206105,solid waste management,2020.0,FREIGHTLNR,CASCADIA 125,1TS8NTDZZZ,TRK-TRACTOR-SC CL8 6X4 10Y DIESEL,CLASS8,TRUCK-TRACT,TRUCK - TRACTOR,HEAVY DUTY,DIESEL,3.54292418188737,10.0,43845.0,  Active Unit ,,SW0709,SW0709,FLEET MAINTENANCE HAULAGE,4869-2,188 BERMONDSEY RD,SW-TDO,B6AD---9,206FREIDI20,2019 FRIGHTLINER TANDEM AXLE HIGH WAY TRACTOR WITH FIFTH WHEEL
237223,SOLID WASTE MANAGEMENT,2018.0,MACK,LR633,9CD8NFCZZZ,PACK-AUTOSIDELCO-25CUYD CL8 6X4 5Y CNG,CLASS8,TRUCK-SLOAD,TRUCK - SIDE LOADER,HEAVY DUTY,NATURAL GAS,4.61963651065449,5.0,43452.0,Replacement Program,,SW1040,SW1040,ELLESMERE GARAGE,3892-2,2000 MIDLAND AVE,V8UND,B6ADASL9,237MACKNG18B,CNG CAB OVER CHASSIS WITH LABRIE ALLEYGATOR 23 CU.YD AUTOMATED SIDE LOAD WITH RIGHT SIDE SIT DOWN
001109,TORONTO BUILDING,2017.0,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,CLASS1,SEDAN - PASSENGER,001NISSUN17,LIGHT DUTY,UNLEADED,5.63333514079148,8.0,43082.0,UNIT IS TOTALED,,BL0005,BL0005,EASTERN GARAGE,,,00,160000.0,5-DOOR HATCHBACK SUBCOMPACT SEDAN,STANDARD
