UNIT_NO,LAST_FUEL_DATE,LAST_WORKORDER_OPEN_DATE,M5_LIFE_KM_USAGE(KM),M5_LIFE_HRS_USAGE(Hrs),M5_YTD_KM_USAGE(KM),M5_YTD_HRS_USAGE(Hrs),AVAILABLE HOURS (Hrs),DOWNTIME(Hrs),EXPECT_USAGE(KM),EXPECT_USAGE(Hrs),VEU
395033,45133.3786574074,44074.5126157407,0.0,2463.0,0.0,136.0,1160.0,0.5,2800.0,002979,GM-MOWER
005004,0.0,0.0,0.0,0.0,TRAILER,15.0,TRL-UTILITY,,,,TRAILER08
190003,45111.4817592593,45124.3534375,5686.0,485.0,942.0,84.0,1160.0,15.1180555555556,250000.0,6250.0,
415001,,42922.4757060185,4181.0,1890.0,0.0,0.0,1160.0,2.0,0.0,,ATT-SAND-GRM
065124,45134.3175810185,45118.4687037037,63769.0,2998.0,6820.0,288.0,1160.0,15.7477777777778,220000.0,0.0,1.5
396447,44448.6082407407,42621.5116782407,0.0,718.0,0.0,0.0,1160.0,0.5,2100.0,005109,GM-MOWER
094140,45132.4312037037,45054.3712615741,1914.0,7.0,1914.0,7.0,416.0,27.6316666666667,160000.0,4000.0,1.0
064196,45133.5202314815,45113.4625810185,2131.0,686.0,2131.0,686.0,680.0,,220000.0,5500.0,1.5
323086,45133.6388888889,45093.3223726852,0.0,8703.0,0.0,624.0,1160.0,,0.0,17400.0,8.0
048049,45133.3989699074,45114.4441550926,105178.0,4466.0,10693.0,510.0,1160.0,185.767777777778,180000.0,4500.0,1.5
236262,45042.638587963,45135.4072916667,124774.0,5503.0,4419.0,308.0,1160.0,757.026388888889,250000.0,10000.0,8.0
267136,44914.4913194444,0.0,0.0,0.0,0.0,TRAILER,0.5,TRL-UTILITY,004301,27 TORYORK DR,
080075,45135.5422453704,45138.3206018519,117783.0,5723.0,3001.0,218.0,1160.0,188.253055555556,220000.0,5500.0,4.0
396405,,45105.3908101852,0.0,1009.0,0.0,53.0,1160.0,12.19,0.0,2100.0,0.5
112539,45105.5290972222,405.0,9.0,405.0,9.0,CLASS2,228.843055555556,1.5,0.0,002726,VAN-3/4T
041370,45131.4209953704,45054.3840393519,22993.0,1160.0,5574.0,302.0,1160.0,2.87777777777778,160000.0,4000.0,1.5
196000,45128.296712963,,45004.0,2933.0,5389.0,285.0,1160.0,2.23611111111111,250000.0,10000.0,3.75
195003,45132.32125,45132.4053125,21532.0,696.0,2562.0,196.0,1160.0,26.6497222222222,,6250.0,5.0
318045,45121.2916550926,,0.0,628.0,0.0,204.0,1160.0,15.7280555555556,0.0,3500.0,0.5
076078,45103.544525463,44943.3765740741,16460.0,848.0,1459.0,100.0,1160.0,30.9622222222222,220000.0,0.0,1.5
045198,45138.3574768519,45085.4791666667,22021.0,1745.0,11070.0,851.0,1160.0,12.88,180000.0,4500.0,1.5
041199,45097.5066666667,45092.5548148148,39172.0,1719.0,1251.0,138.0,1160.0,,160000.0,4000.0,1.5
237253,45134.7513425926,33415.0,2249.0,6148.0,332.0,CLASS8,64.965,8.0,6250.0,3892-2,TRUCK-SLOAD
003251,45119.6133796296,,42902.0,2580.0,5097.0,292.0,1160.0,,160000.0,0.0,1.0
111037,45104.3927662037,45062.4269212963,80245.0,698.0,1492.0,30.0,1160.0,16.3172222222222,180000.0,0.0,1.5
350010,,0.0,0.0,0.0,0.0,APPARATUS,0.5,,000529,1561 LAKESHORE BLVD E,APPARUTUS-AERATOR
376042,0.0,0.0,0.0,0.0,ICEMAIN,10.0,ICE-RESURF,ICE-MAIN-RESURFACER,441 KIPLING AVE,,376ZAMBNG07
112065,40416.35625,40395.3783333333,55546.0,80.0,0.0,0.0,1160.0,-1,0.0,,VAN-3/4T
041365,45082.4945138889,45138.5050462963,10900.0,799.0,1255.0,121.0,1160.0,25.5983333333333,160000.0,4000.0,1.5
135137,,45117.5466319444,58333.0,1125.0,1378.0,53.0,1160.0,30.1533333333333,220000.0,5500.0,3.0
236249,45136.2365972222,45112.4266550926,114465.0,4112.0,6675.0,13.0,1160.0,218.016388888889,250000.0,10000.0,8.0
319097,45125.518287037,44665.5847222222,0.0,1184.0,0.0,13.0,,0.5,2800.0,004447,GM-TRACT
330150,45132.5652083333,45134.3551736111,0.0,3383.0,0.0,302.0,1160.0,210.695277777778,0.0,2100.0,4.0
376016,43489.6186574074,39498.451875,548.0,0.0,0.0,0.0,1160.0,3.0,4900.0,0520-1,ICE-RESURF
202022,45111.3115277778,45121.3275578704,52562.0,5076.0,1262.0,163.0,1160.0,404.696388888889,250000.0,10000.0,6.25
378266,45107.456087963,43844.4708796296,0.0,939.0,0.0,89.0,1160.0,1.0,2100.0,000549,GM-UT-CART
005017,45138.828900463,45113.5642708333,70571.0,1162.0,,322.0,1160.0,290.573611111111,160000.0,4000.0,1.5
189022,45107.4556597222,45077.3031018519,25523.0,1030.0,2.0,2.0,1160.0,147.059444444444,250000.0,6250.0,8.0
250051,45097.2609143518,0.0,0.0,0.0,0.0,TRAILER,16.0,0.5,0.0,51020,TRL-VAN/TANK
095191,45134.6044675926,45125.4307060185,8653.0,57.0,3254.0,3.0,1160.0,24.4425,160000.0,0.0,1.5
006034,45043.5898611111,45090.5569560185,106776.0,923.0,2171.0,4.0,1160.0,144.231666666667,160000.0,0.0,1.0
376047,0.0,0.0,0.0,0.0,ICEMAIN,10.0,ICE-RESURF,ICE-MAIN-RESURFACER,21 ALNESS ST,,376ZAMBNG10
094094,45133.270150463,45051.4969444444,174947.0,4741.0,13850.0,1.0,1160.0,20.0733333333333,160000.0,4000.0,1.0
156189,45120.4671180556,45058.2961805556,11120.0,870.0,21.0,2.0,1160.0,24.6511111111111,220000.0,0.0,4.0
378158,44902.6644560185,1138.0,17.0,0.0,0.0,GROUND,1.0,GM-UT-CART,,,
379056,0.0,0.0,0.0,0.0,GROUND,8.0,GM-UT-CART,,,,379CLUBEL14
330178,45101.4381944444,45120.5056944444,0.0,116.0,0.0,39.0,1160.0,83.0425,0.0,2100.0,4.0
268010,,718.0,0.0,0.0,0.0,TRAILER,0.5,TRL-DMP-VTA,005154,545 COMMISSIONERS ST,
006032,45131.6438194444,44935.3545023148,65643.0,647.0,2305.0,2.0,1160.0,9.14694444444445,160000.0,0.0,1.0
003089,45048.6424421296,44985.4320601852,86657.0,0.0,1405.0,0.0,960.0,9.31666666666667,160000.0,0.0,1.0
158080,45120.3918171296,45114.50125,28706.0,1205.0,5637.0,487.0,1160.0,95.4597222222222,250000.0,6250.0,5.0
323068,44996.1766087963,45124.9418981482,0.0,7984.0,0.0,251.0,1160.0,411.4125,0.0,12600.0,8.0
041102,45040.337349537,45022.3650810185,101737.0,0.0,4725.0,0.0,960.0,3.44944444444444,160000.0,4000.0,1.5
322078,45134.6553819444,45113.4193865741,0.0,3631.0,0.0,303.0,1160.0,253.186111111111,0.0,7000.0,8.0
501011,44677.5074884259,0.0,0.0,0.0,0.0,ATTACHMENT,,,1400.0,003892,ATT-GEN
322053,44881.3653125,44882.6934606481,0.0,5745.0,0.0,0.0,464.0,8.0,7000.0,004301,CON-BACKHOE
003138,44701.540625,45020.6079513889,49252.0,82.0,1.0,2.0,648.0,58.5661111111111,160000.0,0.0,1.0
269021,44413.4888425926,0.0,0.0,0.0,0.0,APPARATUS,0.5,APP-ARR-BD,000582,7 LESLIE ST,APPARUTUS ARROW BOARD
156174,45138.3094791667,45118.6025925926,30843.0,1339.0,3674.0,3.0,1160.0,100.5075,220000.0,0.0,4.0
329006,43399.6257060185,0.0,316.0,0.0,0.0,LIFTING,2.0,LIFT-FRKLFT,0582-1,9 LESLIE ST,
050126,45126.5848726852,45019.3331712963,27884.0,2838.0,6961.0,748.0,1160.0,136.237222222222,180000.0,4500.0,1.5
041320,45133.4268402778,44993.5279513889,38796.0,2516.0,6342.0,428.0,1160.0,9.22222222222222,160000.0,4000.0,1.5
067099,45133.2929282407,45049.3277314815,48732.0,3829.0,11645.0,1021.0,1160.0,29.05,,0.0,1.5
396426,42283.5770717593,0.0,274.0,0.0,0.0,GROUND,0.5,GM-MOWER,003896,70 NASHDENE RD,GROUND-MOWER
076064,45129.2894097222,45133.2938078704,24892.0,1943.0,4319.0,372.0,1160.0,70.3241666666667,220000.0,0.0,1.5
330180,45137.5454513889,45133.443275463,0.0,832.0,0.0,181.0,1160.0,254.305277777778,0.0,2100.0,4.0
067107,45135.2881018519,,7147.0,62.0,5669.0,22.0,1160.0,19.8202777777778,220000.0,0.0,1.5
111103,45105.3338310185,45035.4190046296,27902.0,6.0,3701.0,2.0,1160.0,25.4805555555556,180000.0,0.0,1.5
041336,45134.4220138889,45028.5628587963,35541.0,1375.0,4211.0,231.0,1160.0,-1,160000.0,4000.0,
319149,45056.4219444444,45076.2930787037,0.0,2259.0,0.0,40.0,1160.0,404.948888888889,0.0,4900.0,0.5
355008,44368.5062384259,0.0,0.0,0.0,0.0,ATTACHMENT,1.0,ATT-BCH-CLEAN,,,ATTACHMENT-BEACH CLEANER
047069,45128.4357060185,45037.393275463,99862.0,4549.0,8523.0,357.0,1160.0,22.3955555555556,180000.0,4500.0,1.5
317005,0.0,0.0,0.0,0.0,FACILITY,8.0,FM-FL-SCR,FACILITY-FLOOR SCRUBBER,,,317TENNPR08A
206090,45138.1298726852,45118.2536574074,79116.0,1647.0,12941.0,609.0,1160.0,122.451944444444,400000.0,10000.0,5.0
378161,44203.4672569444,269.0,271.0,0.0,0.0,GROUND,1.0,GM-UT-CART,0582-1,9 LESLIE ST,
080110,45138.6964351852,45112.3133796296,2222.0,161.0,2222.0,161.0,224.0,20.0838888888889,220000.0,5500.0,4.0
051006,45128.4919560185,45009.3685763889,74579.0,1748.0,2335.0,131.0,1160.0,25.1763888888889,180000.0,4500.0,1.5
303001,,0.0,0.0,0.0,GROUND,10.0,GM-LEAF-BLW,GROUNT-LEAF BLOWER,711 LAKE SHORE BLVD W,,303BUFAUN07
299007,44309.3133333333,44697.5668634259,0.0,22.0,0.0,0.0,960.0,2.0,3500.0,000520,APP-HYD-VAC
237158,45083.6693055556,45120.7660185185,40886.0,7198.0,677.0,179.0,1160.0,172.066944444444,250000.0,6250.0,8.0
396394,44155.5643287037,45113.5526967593,0.0,1013.0,0.0,0.0,1160.0,,0.0,7000.0,0.5
045071,45119.4400231481,45100.3029282407,117095.0,3494.0,198.0,302.0,1160.0,181.465277777778,180000.0,0.0,1.5
047031,45128.5671180556,44958.6250347222,53272.0,1461.0,987.0,65.0,1160.0,0.0211111111111111,180000.0,4500.0,1.5
156191,45138.4558449074,45134.3370717593,12114.0,728.0,5002.0,302.0,1160.0,58.0802777777778,220000.0,0.0,4.0
135173,45126.3132407407,44995.2875694444,8382.0,676.0,2041.0,169.0,1160.0,208.0,220000.0,5500.0,3.0
376035,0.0,0.0,,0.0,ICEMAIN,10.0,ICE-RESURF,ICE-MAIN-RESURFACER,,,376ZAMBPR05
094143,45135.7125462963,44979.5819560185,3326.0,414.0,3326.0,414.0,720.0,66.0330555555555,160000.0,4000.0,1.0
175048,45125.9602546296,45084.3470949074,71499.0,2879.0,406.0,2.0,1160.0,63.5738888888889,250000.0,6250.0,5.5
045161,45127.6844675926,44984.5043055556,18388.0,1339.0,30.0,3.0,1160.0,15.4986111111111,180000.0,0.0,1.5
267145,44929.3855671296,0.0,0.0,0.0,0.0,TRAILER,,0.5,0.0,005109,TRL-UTILITY
041309,45103.6131018518,44938.4329050926,3935.0,296.0,799.0,72.0,1160.0,67.1605555555556,160000.0,4000.0,1.5
003141,44949.8232175926,45015.3482986111,37453.0,255.0,516.0,4.0,1160.0,14.6761111111111,160000.0,0.0,1.0
045187,45134.4046412037,45134.4402777778,27759.0,2721.0,6877.0,852.0,1160.0,99.4394444444444,180000.0,0.0,1.5
396347,41788.363125,,0.0,3.0,0.0,0.0,1160.0,0.5,3500.0,005381,GM-MOWER
396403,44489.5336574074,45127.5934722222,0.0,831.0,0.0,0.0,1160.0,33.7566666666667,0.0,2100.0,0.5
